abridgement	abridgment
acknowledgement	acknowledgment
amoeba	ameba
analyse	analyze
anaesthesia	anesthesia
arbour	arbor
axe	ax
barrelled	barreled
behaviour	behavior
belabour	belabor
brunette	brunet
calibre	caliber
catalogue	catalog
cancelled	canceled
candour	candor
centre	center
centimetre	centimeter
cheque	check
colour	color
clamour	clamor
crystalline	crystaline
crueller	cruelest
crystallize	crystalize
defence	defense
dialogue	dialog
aeon	eon
favour	favor
favourite	favorite
fervour	fervor
fibre	fiber
flavour	flavor
fuelled	fueled
fulfil	fulfill
funnelled	funneled
gauge	gage
goitre	goiter
grey	gray
gruelling	grueling
harbour	harbor
honour	honor
humour	humor
jeweller	jeweler
instalment	installment
imperilled	imperiled
kilometre	kilometer
labour	labor
labelled	labeled
labour	labor
levelled	leveled
licence	license
litre	liter
louvre	louver
lustre	luster
macabre	macaber
manoeuvre	maneuver
marvellous	marvelous
matte	matt
medallist	medalist
meagre	meager
metre	meter
millimetre	millimeter
mitre	miter
modelled	modeled
mould	mold
moult	molt
moustache	mustache
neighbour	neighbor
paean	pean
paleolothic	palaeolothic
panelled	paneled
panelling	paneling
parlour	parlor
pummelled	pummeled
pyjamas	pajamas
odour	odor
rancour	rancor
raquet	racket
reconnoitre	reconnoiter
saleable	salable
savour	savor
sceptre	scepter
smoulder	smolder
sombre	somber
sulphate	sulfate
sulphur	sulfur
tonne	ton
totalled	totaled
tranquillize	tranquilize
tumour	tumor
traveller	traveler
tunnelled	tunneled
theatre	theater
vice	vise
valour	valor
vapour	vapor
vigour	vigor
wilful	willful
worshipped	worshiped
queueing	queuing
